"RestaurantName","PostCode","RatingText","InspectionDate","RatingNum"
"Belfast Citadel Corps","BT2 7HD","Food hygiene rating is '5': Very good","03 October 2017","5"
"Belfast City Mission","BT15 4JU","Food hygiene rating is '5': Very good","07 March 2016","5"
"Belfast Harlequins","BT9 5JX","Food hygiene rating is '5': Very good","23 August 2018","5"
"Bella Vita Pizzeria","BT2 7HD","Food hygiene rating is '5': Very good","29 August 2018","5"
"Belmont Bowling Club - ladies","BT4 3DW","Food hygiene rating is '5': Very good","07 August 2017","5"
"Belmont Catering at Belmont Bowling Club","BT4 3DW","Food hygiene rating is '5': Very good","18 February 2018","5"
"Belmont Tower Coffee Shop","BT4 3FG","Food hygiene rating is '5': Very good","06 September 2017","5"
"Belvedere Cafe Restaurant","BT6 8PY","Food hygiene rating is '5': Very good","21 March 2018","5"
"Belvoir Park Golf Club Catering","BT8 7AN","Food hygiene rating is '5': Very good","27 April 2018","5"
"Benedicts (Bar)","BT7 1RQ","Food hygiene rating is '5': Very good","Recently inspected – new rating to be published soon","5"
"Bengal Brasserie","BT7 3GQ","Food hygiene rating is '5': Very good","23 August 2017","5"
"Bengal Brasserie","BT9 6GH","Food hygiene rating is '5': Very good","23 April 2018","5"
"Bengal Spice","BT11 9BY","Food hygiene rating is '5': Very good","17 April 2018","5"
"Benny's Bistro and Benny's Kitchen","BT12 6HU","Food hygiene rating is '5': Very good","01 November 2018","5"
"Beths Bakery","BT13 1FQ","Food hygiene rating is '5': Very good","27 February 2017","5"
"Beths Bakery","BT14 7AA","Food hygiene rating is '5': Very good","19 February 2018","5"
"Biddy Farrelly's","BT1 1JL","Food hygiene rating is '5': Very good","12 March 2018","5"
"Big Papa Drew","BT14 6QY","Food hygiene rating is '5': Very good","23 February 2018","5"
"Bittles Bar","BT1 4LG","Food hygiene rating is '5': Very good","14 April 2016","5"
"Black Box","BT1 2LA","Food hygiene rating is '5': Very good","08 February 2018","5"
"Blethers","BT6 8PY","Food hygiene rating is '5': Very good","06 July 2016","5"
"Blu Restaurant","BT1 1QA","Food hygiene rating is '5': Very good","03 November 2017","5"
"Bo Tree Kitchen","BT7 1GX","Food hygiene rating is '5': Very good","26 March 2018","5"
"Bob & Berts Stranmillis","BT9 5AD","Food hygiene rating is '5': Very good","17 January 2017","5"
"Boden Park Coffee Co","BT7 3GG","Food hygiene rating is '5': Very good","12 February 2018","5"
"Bombardier Queens Island","BT3 9DY","Food hygiene rating is '5': Very good","29 March 2018","5"
"Boojum","BT1 4JB","Food hygiene rating is '5': Very good","04 May 2018","5"
"Boojum","BT7 1JL","Food hygiene rating is '5': Very good","02 May 2018","5"
"Boojum","BT9 7EZ","Food hygiene rating is '5': Very good","06 March 2018","5"
"Boojum","BT1 4QG","Food hygiene rating is '5': Very good","09 June 2017","5"
"Boojum","BT2 7BA","Food hygiene rating is '5': Very good","16 October 2018","5"
"Boulder World","BT12 6HP","Food hygiene rating is '5': Very good","25 February 2015","5"
"Boyles at the Linenhall Library","BT1 5GB","Food hygiene rating is '5': Very good","16 August 2017","5"
"Brae","BT5 7QL","Food hygiene rating is '5': Very good","12 January 2017","5"
"Braeside Sandwich Bar","BT5 7JX","Food hygiene rating is '5': Very good","05 October 2017","5"
"Breeze Canteen","BT5 5FL","Food hygiene rating is '5': Very good","13 March 2018","5"
"Brennans","BT2 7BB","Food hygiene rating is '5': Very good","31 May 2017","5"
"Bridge Newsagency","BT1 1LT","Food hygiene rating is '5': Very good","07 August 2018","5"
"Brights","BT1 2AA","Food hygiene rating is '5': Very good","31 May 2017","5"
"Broken Biscuits @ Drummond Reid Antiques Tea Room","BT5 6QR","Food hygiene rating is '5': Very good","26 September 2017","5"
"Brooklyn Square","BT2 7DB","Food hygiene rating is '5': Very good","03 November 2016","5"
"Brunch","BT12 4HG","Food hygiene rating is '5': Very good","06 February 2017","5"
"Buba Restaurant Ltd","BT1 2LR","Food hygiene rating is '5': Very good","16 March 2018","5"
"Bullitt Hotel","BT1 4QN","Food hygiene rating is '5': Very good","08 June 2017","5"
"Burger King","BT5 5LP","Food hygiene rating is '5': Very good","14 May 2018","5"
"Burger King","BT11 9AB","Food hygiene rating is '5': Very good","21 June 2018","5"
"Burger King","BT15 1WA","Food hygiene rating is '5': Very good","13 March 2017","5"
"Burger King","BT1 1DD","Food hygiene rating is '5': Very good","07 June 2017","5"
"C'Mon In","BT13 3JJ","Food hygiene rating is '5': Very good","09 January 2018","5"
"Cafe 1404","BT3 9DT","Food hygiene rating is '5': Very good","25 June 2018","5"
"Cafe 2 U","BT6 9GB","Food hygiene rating is '5': Very good","10 May 2017","5"
"Cafe 31","BT1 1NA","Food hygiene rating is '5': Very good","01 September 2016","5"
"Cafe At The Museum","BT6 9EY","Food hygiene rating is '5': Very good","09 April 2018","5"
"Cafe Bedeck","BT9 7EZ","Food hygiene rating is '5': Very good","30 May 2018","5"
"Cafe Carberry","BT1 4PE","Food hygiene rating is '5': Very good","10 August 2017","5"
"Cafe Carberry @ Law Society House","BT1 3GN","Food hygiene rating is '5': Very good","10 August 2017","5"
"Cafe Destination","BT9 5AF","Food hygiene rating is '5': Very good","10 April 2018","5"
"Cafe Four (Isaac Agnew)","BT12 6HU","Food hygiene rating is '5': Very good","09 May 2017","5"
"Cafe Krem","BT9 5BU","Food hygiene rating is '5': Very good","11 August 2017","5"
"Cafe Krem","BT14 6BP","Food hygiene rating is '5': Very good","20 February 2018","5"
"Cafe Legal","BT1 3LL","Food hygiene rating is '5': Very good","21 June 2018","5"
"Cafe Mauds","BT4 3EX","Food hygiene rating is '5': Very good","03 November 2017","5"
"Cafe Mauds","BT9 7GQ","Food hygiene rating is '5': Very good","10 October 2018","5"
"Cafe Melrose","BT9 7EJ","Food hygiene rating is '5': Very good","27 April 2017","5"
"Cafe Metro","BT1 6FB","Food hygiene rating is '5': Very good","22 November 2016","5"
"Cafe Nicole","BT6 9EQ","Food hygiene rating is '5': Very good","03 October 2017","5"
"Cafe Parisien","BT1 5GA","Food hygiene rating is '5': Very good","07 December 2017","5"
"Cafe Pausa ( Shane Retail Park)","BT12 6RH","Food hygiene rating is '5': Very good","23 May 2018","5"
"Cafe Pirlo","BT9 7GT","Food hygiene rating is '5': Very good","31 January 2017","5"
"Cafe R Grill & Griddle","BT8 7DG","Food hygiene rating is '5': Very good","19 October 2017","5"
"Cafe Smart","BT4 2AN","Food hygiene rating is '5': Very good","22 November 2017","5"
"Cafe Torino","BT1 1DJ","Food hygiene rating is '5': Very good","25 July 2017","5"
"Cafe Uno","BT1 1RB","Food hygiene rating is '5': Very good","14 September 2017","5"
"Caffe Avanzo","BT1 6BT","Food hygiene rating is '5': Very good","26 September 2017","5"
"Caffe Giuseppe Limited","BT2 8LA","Food hygiene rating is '5': Very good","28 June 2018","5"
"Caffe Nero","BT1 3LP","Food hygiene rating is '5': Very good","28 July 2017","5"
"Caffe Nero","BT7 1JQ","Food hygiene rating is '5': Very good","01 August 2017","5"
"Caffe Nero","BT7 3GP","Food hygiene rating is '5': Very good","28 September 2017","5"
"Caffe Nero","BT1 1RB","Food hygiene rating is '5': Very good","17 October 2017","5"
"Caffe Nero","BT9 6GH","Food hygiene rating is '5': Very good","08 May 2018","5"
"Caffe Nero","BT1 4EG","Food hygiene rating is '5': Very good","19 December 2016","5"
"Caffe Nero","BT1 1FE","Food hygiene rating is '5': Very good","28 November 2017","5"
"Caffe Nero","BT4 3EY","Food hygiene rating is '5': Very good","22 June 2018","5"
"Caffe Nero","BT1 6JH","Food hygiene rating is '5': Very good","03 January 2018","5"
"Caffe Nero","BT2 8YB","Food hygiene rating is '5': Very good","02 March 2018","5"
"Caffe Nero","BT1 4QG","Food hygiene rating is '5': Very good","09 March 2018","5"
"Caffe Nero","BT1 4LA","Food hygiene rating is '5': Very good","14 July 2017","5"
"Caffe Nero","BT2 7GN","Food hygiene rating is '5': Very good","14 March 2018","5"
"Caffe Ritazza Kiosk and Cafe Bar","BT2 7GN","Food hygiene rating is '5': Very good","03 August 2018","5"
"Camile Thai","BT9 6GH","Food hygiene rating is '5': Very good","13 December 2016","5"
"Carberry @ Concentrix","BT1 3NR","Food hygiene rating is '5': Very good","06 February 2018","5"
"Carberry @ Into","BT9 5BY","Food hygiene rating is '5': Very good","06 February 2018","5"
"Carberry @ Royal Courts of Justice","BT1 3JA","Food hygiene rating is '5': Very good","10 August 2017","5"
"Cassidys","BT15 2HF","Food hygiene rating is '5': Very good","30 June 2018","5"
"Cast & Crew","BT3 9DT","Food hygiene rating is '5': Very good","20 November 2017","5"
"Caterpillar Millennium One (Administration Canteen)","BT12 7AL","Food hygiene rating is '5': Very good","20 February 2018","5"
"Catholic Chaplaincy QUB","BT9 6AY","Food hygiene rating is '5': Very good","08 May 2017","5"
"Centra","BT3 9LB","Food hygiene rating is '5': Very good","29 March 2017","5"
"Centra Quick Stop","BT1 4JE","Food hygiene rating is '5': Very good","09 July 2018","5"
"Chandlers Seafood Restaurant","BT1 3EA","Food hygiene rating is '5': Very good","30 June 2016","5"
"Chapter One","BT1 1EA","Food hygiene rating is '5': Very good","17 May 2017","5"
"Charlottes","BT1 2ND","Food hygiene rating is '5': Very good","14 June 2017","5"
"Chat Coffee House","BT9 7AE","Food hygiene rating is '5': Very good","15 January 2018","5"
"Chat Coffee House & Newsagents","BT9 7AB","Food hygiene rating is '5': Very good","08 February 2017","5"
"Cherry Orchard","BT5 7EA","Food hygiene rating is '5': Very good","11 May 2017","5"
"Chez Francis/La Creperie","BT6 8PT","Food hygiene rating is '5': Very good","26 July 2017","5"
"Chilli House","BT2 7HF","Food hygiene rating is '5': Very good","02 September 2016","5"
"Choc Allure Odyssey Arena","BT3 9QQ","Food hygiene rating is '5': Very good","19 July 2016","5"
"Chopstix","BT1 5BA","Food hygiene rating is '5': Very good","05 December 2017","5"
"Chopstix Express","BT1 4DB","Food hygiene rating is '5': Very good","27 April 2017","5"
"Chowder Up","BT15 5GB","Food hygiene rating is '5': Very good","10 February 2017","5"
"Citigolf","BT2 8JL","Food hygiene rating is '5': Very good","06 September 2017","5"
"Clayton Hotel","BT2 8HS","Food hygiene rating is '5': Very good","30 March 2018","5"
"Clements","BT7 1JR","Food hygiene rating is '5': Very good","02 August 2017","5"
"Clements","BT9 5AJ","Food hygiene rating is '5': Very good","27 April 2018","5"
"Clements","BT9 7BL","Food hygiene rating is '5': Very good","25 May 2018","5"
"Clements","BT4 3JF","Food hygiene rating is '5': Very good","30 January 2017","5"
"Clements","BT1 6JA","Food hygiene rating is '5': Very good","14 August 2018","5"
"Clements","BT9 6AY","Food hygiene rating is '5': Very good","30 October 2018","5"
"Cliftonville Golf Club","BT14 6NH","Food hygiene rating is '5': Very good","10 March 2018","5"
"Cloth Ear","BT1 2DY","Food hygiene rating is '5': Very good","31 August 2018","5"
"Co-Couture","BT1 4JA","Food hygiene rating is '5': Very good","30 March 2017","5"
"Coffee Nook","BT5 5FL","Food hygiene rating is '5': Very good","N/A","5"
"Common Grounds Cafe","BT7 1GY","Food hygiene rating is '5': Very good","25 April 2018","5"
"Compass @ Asda","BT15 1WA","Food hygiene rating is '5': Very good","27 July 2018","5"
"Compass Group at British Telecom","BT1 4NB","Food hygiene rating is '5': Very good","24 October 2016","5"
"Conor Cafe","BT9 5AF","Food hygiene rating is '5': Very good","06 December 2016","5"
"Cooks Cafe","BT5 7LL","Food hygiene rating is '5': Very good","23 July 2018","5"
"Coppi","BT1 2LN","Food hygiene rating is '5': Very good","09 July 2018","5"
"Cosmo","BT1 4QG","Food hygiene rating is '5': Very good","09 January 2017","5"
"Costa","BT3 9EJ","Food hygiene rating is '5': Very good","30 May 2018","5"
"Costa","BT1 4QG","Food hygiene rating is '5': Very good","06 July 2018","5"
"Costa","BT12 6HR","Food hygiene rating is '5': Very good","03 July 2017","5"
"Costa","BT1 1DD","Food hygiene rating is '5': Very good","14 August 2018","5"
"Costa","BT12 6UA","Food hygiene rating is '5': Very good","22 August 2018","5"
"Costa","BT3 9JH","Food hygiene rating is '5': Very good","18 September 2018","5"
"Costa","BT11 9AB","Food hygiene rating is '5': Very good","31 October 2018","5"
"Costa Coffee","BT1 1GB","Food hygiene rating is '5': Very good","15 March 2018","5"
"Costa Coffee","BT1 6GF","Food hygiene rating is '5': Very good","13 March 2018","5"
"Costa Coffee","BT12 6HT","Food hygiene rating is '5': Very good","04 September 2018","5"
"Cream Cafe Bistro","BT16 1DE","Food hygiene rating is '5': Very good","30 April 2018","5"
"Crescent Townhouse","BT7 1NR","Food hygiene rating is '5': Very good","24 January 2018","5"
"Crowne Plaza Hotel","BT8 7XP","Food hygiene rating is '5': Very good","21 June 2017","5"
"CT15","BT15 5GF","Food hygiene rating is '5': Very good","21 March 2018","5"
"Cuckoo","BT9 7AJ","Food hygiene rating is '5': Very good","12 September 2016","5"
"Cuffs Bar & Grill and Crum Cafe","BT14 6ST","Food hygiene rating is '5': Very good","24 November 2017","5"
"Curated Kitchen","BT1 2GT","Food hygiene rating is '5': Very good","09 March 2018","5"
"Cyprus Avenue","BT4 3JF","Food hygiene rating is '5': Very good","10 February 2017","5"
"Daltons Belfast","BT12 6HU","Food hygiene rating is '5': Very good","07 July 2017","5"
"Dante's Foodservices Ltd at Calor Gas","BT3 9ED","Food hygiene rating is '5': Very good","27 March 2018","5"
"Darcy's","BT7 1RS","Food hygiene rating is '5': Very good","05 May 2017","5"
"Dark Arts Coffee lounge","BT1 1DJ","Food hygiene rating is '5': Very good","13 September 2017","5"
"Deane's @ Queens","BT9 6BQ","Food hygiene rating is '5': Very good","22 February 2018","5"
"Deanes","BT1 6PF","Food hygiene rating is '5': Very good","26 July 2018","5"
"Debenhams","BT1 1DD","Food hygiene rating is '5': Very good","14 July 2017","5"
"Dee Dee's Cafe","BT5 5LP","Food hygiene rating is '5': Very good","24 January 2018","5"
"Deli Lites","BT1 1RD","Food hygiene rating is '5': Very good","07 February 2017","5"
"Dirty Onion/Yard bird","BT1 2LA","Food hygiene rating is '5': Very good","22 November 2017","5"
"District Coffee","BT7 2GD","Food hygiene rating is '5': Very good","14 December 2016","5"
"District Coffee","BT9 5AD","Food hygiene rating is '5': Very good","28 February 2017","5"
"Doughzy Donuts","BT1 1JE","Food hygiene rating is '5': Very good","20 July 2016","5"
"Dr B's Kitchen 5-9","BT1 1LT","Food hygiene rating is '5': Very good","18 January 2018","5"
"Dukes at Queens","BT7 1FY","Food hygiene rating is '5': Very good","26 September 2018","5"
"Dunnes Stores","BT1 4DD","Food hygiene rating is '5': Very good","20 July 2018","5"
"DW Sports Fitness Club","BT12 6HR","Food hygiene rating is '5': Very good","04 September 2018","5"
"Eddie Rockets","BT12 6HT","Food hygiene rating is '5': Very good","16 February 2017","5"
"Eddie Rockets","BT9 7EW","Food hygiene rating is '5': Very good","22 January 2018","5"
"Education Authority Cafe","BT1 2NQ","Food hygiene rating is '5': Very good","06 July 2017","5"
"Errigle Inn","BT7 2GE","Food hygiene rating is '5': Very good","22 February 2017","5"
"Established Coffee","BT1 2LD","Food hygiene rating is '5': Very good","16 April 2018","5"
"Eurest at Bank of Ireland (Brent House)","BT3 9LE","Food hygiene rating is '5': Very good","28 March 2018","5"
"Eurest at Capita","BT1 3BG","Food hygiene rating is '5': Very good","08 August 2016","5"
"Eurest at Musgrave Market Place & Wholesale Partners","BT3 9HJ","Food hygiene rating is '5': Very good","21 March 2018","5"
"Eurest at Phoenix Gas","BT3 9ED","Food hygiene rating is '5': Very good","11 December 2017","5"
"Europa Hotel Belfast","BT2 7AP","Food hygiene rating is '5': Very good","04 April 2017","5"
"Failte","BT12 6AF","Food hygiene rating is '5': Very good","19 May 2017","5"
"Fallone's","BT36 7RW","Food hygiene rating is '5': Very good","10 October 2018","5"
"Fed and Watered","BT1 3NL","Food hygiene rating is '5': Very good","23 October 2017","5"
"First Floor Bistro","BT7 3GQ","Food hygiene rating is '5': Very good","24 February 2017","5"
"Fitzwilliam Hotel","BT2 7BQ","Food hygiene rating is '5': Very good","15 August 2018","5"
"Five Guys","BT1 4QG","Food hygiene rating is '5': Very good","24 April 2018","5"
"Flame","BT1 6PG","Food hygiene rating is '5': Very good","03 July 2018","5"
"Flour Power","BT7 1DQ","Food hygiene rating is '5': Very good","30 March 2018","5"
"Footprints Womens Centre","BT17 0AR","Food hygiene rating is '5': Very good","18 December 2017","5"
"Fortwilliam Golf Club Restaurant","BT15 4EZ","Food hygiene rating is '5': Very good","05 December 2017","5"
"Frankie & Benny's","BT12 6HT","Food hygiene rating is '5': Very good","10 September 2018","5"
"Franklin & James Espresso Bar","BT2 7FD","Food hygiene rating is '5': Very good","29 September 2017","5"
"Fratelli","BT2 7ET","Food hygiene rating is '5': Very good","08 June 2016","5"
"French Village","BT7 1JN","Food hygiene rating is '5': Very good","04 May 2018","5"
"French Village Catering Ltd","BT6 9HL","Food hygiene rating is '5': Very good","04 December 2017","5"
"French Village Patisserie and Brasserie","BT9 7EP","Food hygiene rating is '5': Very good","19 September 2016","5"
"Freshly Chopped @ University of Ulster","BT15 1ED","Food hygiene rating is '5': Very good","11 November 2016","5"
"Fujitsu","BT4 1NU","Food hygiene rating is '5': Very good","07 February 2018","5"
"Fujitsu / Staff Canteen (Trident House)","BT3 9AE","Food hygiene rating is '5': Very good","26 June 2017","5"
"Funky Monkeys","BT11 9AE","Food hygiene rating is '5': Very good","01 February 2018","5"
"Funky Monkeys","BT15 1WA","Food hygiene rating is '5': Very good","10 August 2018","5"
"Gallopers","BT15 3HE","Food hygiene rating is '5': Very good","21 February 2018","5"
"Garrick Bar","BT1 4JB","Food hygiene rating is '5': Very good","01 December 2017","5"
"Gather & Gather at Lloyds Banking Group","BT7 2JB","Food hygiene rating is '5': Very good","11 September 2017","5"
"General Merchants","BT4 3LL","Food hygiene rating is '5': Very good","16 April 2018","5"
"General Merchants 361","BT7 3GL","Food hygiene rating is '5': Very good","Recently inspected – new rating to be published soon","5"
"Ginger","BT2 7BB","Food hygiene rating is '5': Very good","01 August 2018","5"
"Glen Community Parent & Youth Group","BT11 9PE","Food hygiene rating is '5': Very good","21 November 2017","5"
"Gll Coffee Corner","BT12 6HR","Food hygiene rating is '5': Very good","28 February 2017","5"
"Golden Boat","BT13 3AE","Food hygiene rating is '5': Very good","27 March 2018","5"
"Graze","BT4 3GE","Food hygiene rating is '5': Very good","06 August 2018","5"
"Green Pizza","BT4 3JH","Food hygiene rating is '5': Very good","20 January 2017","5"
"Greggs","BT1 6JH","Food hygiene rating is '5': Very good","19 October 2016","5"
"Greggs","BT1 5DA","Food hygiene rating is '5': Very good","23 February 2017","5"
"Greggs","BT7 1JR","Food hygiene rating is '5': Very good","03 July 2018","5"
"Greggs","BT11 9AE","Food hygiene rating is '5': Very good","16 July 2018","5"
"Greggs","BT13 2JF","Food hygiene rating is '5': Very good","16 March 2017","5"
"Greggs","BT1 1FD","Food hygiene rating is '5': Very good","15 October 2018","5"
"Greggs","BT3 9LZ","Food hygiene rating is '5': Very good","27 September 2016","5"
"Greggs","BT12 6HU","Food hygiene rating is '5': Very good","27 April 2016","5"
"Ground Espresso Bars Limited","BT1 4QG","Food hygiene rating is '5': Very good","08 August 2018","5"
"Ground Espresso Bars Ltd","BT1 6HL","Food hygiene rating is '5': Very good","26 June 2018","5"
"Guilt Trip","","Food hygiene rating is '5': Very good","18 May 2017","5"
"Hadskis","BT1 2FG","Food hygiene rating is '5': Very good","22 March 2018","5"
"Harbour Cafe","BT3 9JU","Food hygiene rating is '5': Very good","10 February 2017","5"
"Harbour Commissioners","BT1 3AL","Food hygiene rating is '5': Very good","13 March 2018","5"
"Hard Hat Catering","BT12 6BA","Food hygiene rating is '5': Very good","23 May 2018","5"
"Havana Bank Square/The Saggart","BT1 1FJ","Food hygiene rating is '5': Very good","19 May 2017","5"
"Helens Home Bakery","BT7 2ED","Food hygiene rating is '5': Very good","21 February 2018","5"
"HMS Caroline","BT3 9DT","Food hygiene rating is '5': Very good","26 June 2018","5"
"Holiday Inn","BT12 5EE","Food hygiene rating is '5': Very good","18 May 2018","5"
"Holohans Irish Pantry","BT7 1ND","Food hygiene rating is '5': Very good","14 February 2018","5"
"Home Restaurant","BT1 6GE","Food hygiene rating is '5': Very good","08 February 2017","5"
"Honest Pizza Company","BT9 5AJ","Food hygiene rating is '5': Very good","22 February 2017","5"
"Hope Cafe","BT7 1LQ","Food hygiene rating is '5': Very good","03 January 2017","5"
"Horatio Todds","BT4 3EZ","Food hygiene rating is '5': Very good","15 May 2017","5"
"Hotel Chocolate Group PLC","BT1 5GB","Food hygiene rating is '5': Very good","30 October 2017","5"
"Hovis Ltd","BT12 6LP","Food hygiene rating is '5': Very good","10 May 2017","5"
"Howard Street","BT1 6PW","Food hygiene rating is '5': Very good","28 February 2017","5"
"HSC Leadership Centre","BT7 3EN","Food hygiene rating is '5': Very good","22 May 2017","5"
"Hub","BT9 6AY","Food hygiene rating is '5': Very good","06 February 2018","5"
"Hutchy's Cafe","BT17 9AD","Food hygiene rating is '5': Very good","28 July 2017","5"
"IKEA Restaurant","BT3 9EJ","Food hygiene rating is '5': Very good","20 November 2017","5"
"India Gate","BT2 7AF","Food hygiene rating is '5': Very good","04 October 2018","5"
"Isaac Agnew Audi - Belfast Audi","BT3 9DP","Food hygiene rating is '5': Very good","01 November 2018","5"
"Isibeals","BT1 2AA","Food hygiene rating is '5': Very good","07 March 2017","5"
"Jack Coffee Bar","BT4 1HH","Food hygiene rating is '5': Very good","18 April 2018","5"
"Jack Straws","BT4 3NT","Food hygiene rating is '5': Very good","12 January 2017","5"
"Jam Restaurant","BT12 6HN","Food hygiene rating is '5': Very good","03 January 2018","5"
"James Street South Restaurant","BT2 7GA","Food hygiene rating is '5': Very good","04 April 2017","5"
"Javaman","BT1 3LA","Food hygiene rating is '5': Very good","17 May 2016","5"
"JEFFERS","BT17 9AD","Food hygiene rating is '5': Very good","23 May 2018","5"
"Jellybean Cafe","BT4 3EU","Food hygiene rating is '5': Very good","05 June 2017","5"
